"NIFTY 50","12,151.00","12,231.75","12,144.30","12,201.20","93.30","0.77","4,123.99","16,598.15","12,430.50","10,585.65","12.05","-1.04"
"HINDUNILVR","2,157.10","2,272.00","2,155.00","2,262.00","109.35","5.08","47.53","1,068.88","2,272.00","1,650.00","25.33","13.39"
"KOTAKBANK","1,680.10","1,720.00","1,675.00","1,713.50","36.05","2.15","30.11","514.73","1,734.80","1,210.00","31.65","1.32"
"EICHERMOT","19,000.00","19,360.00","18,925.80","19,360.00","350.75","1.85","1.53","292.68","23,450.00","15,200.00","-6.71","-4.54"
"ICICIBANK","545.80","550.70","542.70","549.40","9.65","1.79","140.26","766.85","552.20","336.15","56.95","2.01"
"NESTLEIND","16,026.00","16,472.60","15,968.45","16,280.00","282.85","1.77","1.29","210.45","16,549.45","10,031.65","50.14","11.06"
"JSWSTEEL","288.65","295.40","288.50","293.70","4.95","1.71","91.19","267.06","314.00","201.75","12.27","5.42"
"M&M","526.65","534.30","523.90","531.90","7.85","1.50","34.27","181.36","704.20","502.55","-17.86","-4.15"
"WIPRO","241.70","247.15","241.70","244.70","3.45","1.43","34.19","83.72","301.60","232.20","-34.41","-3.96"
"RELIANCE","1,456.15","1,474.85","1,455.00","1,473.15","20.40","1.40","61.87","906.93","1,617.55","1,095.30","17.55","-4.57"
"HEROMOTOCO","2,410.00","2,430.00","2,400.00","2,425.00","28.55","1.19","4.68","113.08","3,022.90","2,225.60","-16.06","2.46"
"BHARTIARTL","536.00","542.35","535.00","539.70","5.40","1.01","50.66","273.46","552.80","272.02","72.87","15.10"
"TATASTEEL","450.00","454.50","442.55","448.35","4.25","0.96","117.86","528.08","561.65","320.35","-6.73","-9.56"
"INFY","775.80","783.25","775.10","780.80","7.25","0.94","29.49","230.22","847.00","615.10","2.36","0.94"
"LT","1,289.10","1,299.85","1,280.00","1,299.00","12.10","0.94","25.69","331.40","1,607.00","1,201.10","4.21","-2.67"
"TCS","2,151.10","2,185.00","2,150.00","2,173.10","19.70","0.91","16.20","352.21","2,296.20","1,881.30","5.19","-0.79"
"GAIL","129.70","131.00","127.50","130.30","1.15","0.89","146.68","189.69","183.25","110.45","-60.32","1.09"
"VEDL","142.00","143.90","141.15","142.00","1.25","0.89","92.80","132.09","195.10","125.30","-6.67","-11.50"
"TATAMOTORS","173.00","173.30","169.00","171.10","1.35","0.80","346.21","591.40","239.35","106.00","12.09","-12.82"
"ASIANPAINT","1,880.00","1,916.70","1,878.20","1,893.10","15.00","0.80","16.17","307.43","1,916.70","1,291.25","31.73","4.89"
"HDFCBANK","1,245.20","1,252.90","1,244.05","1,249.00","8.40","0.68","31.49","393.44","1,305.50","1,035.00","-41.63","-2.88"
"BAJFINANCE","4,770.00","4,782.20","4,722.00","4,780.00","30.65","0.65","8.83","420.08","4,785.00","2,506.00","79.89","14.78"
"COALINDIA","181.00","183.40","178.20","180.30","0.95","0.53","146.69","264.55","271.45","171.05","-17.60","-14.77"
"ZEEL","233.00","234.95","231.10","232.50","1.20","0.52","75.66","176.22","488.95","199.15","-42.12","-12.30"
"AXISBANK","752.00","760.70","751.00","753.80","3.85","0.51","61.90","468.37","827.75","622.65","6.04","2.22"
"HINDALCO","194.25","196.40","191.20","194.60","0.95","0.49","105.81","205.38","221.20","171.10","-2.43","-7.86"
"BAJAJFINSV","9,738.00","9,840.95","9,685.25","9,775.00","43.40","0.45","1.89","184.27","9,950.00","5,855.00","60.34","3.38"
"BAJAJ-AUTO","3,164.70","3,184.65","3,136.85","3,158.90","13.45","0.43","3.45","109.19","3,315.15","2,442.20","10.70","2.10"
"DRREDDY","3,172.15","3,213.60","3,164.05","3,201.25","10.05","0.31","5.69","181.29","3,277.60","1,872.95","22.40","8.34"
"HCLTECH","613.00","620.50","610.30","612.20","1.55","0.25","48.73","299.60","620.50","496.50","-43.28","4.38"
"MARUTI","7,056.10","7,110.00","7,007.95","7,048.00","14.25","0.20","5.99","423.22","7,758.70","5,446.05","-1.81","-4.14"
"ITC","213.40","214.80","211.80","212.95","0.35","0.16","99.28","211.81","310.00","205.00","-23.15","-10.99"
"TECHM","820.00","826.45","816.80","821.10","1.15","0.14","13.94","114.67","846.50","607.15","1.45","4.49"
"ADANIPORTS","376.95","378.90","371.60","374.70","0.50","0.13","18.74","70.27","430.60","315.75","13.96","-4.01"
"BRITANNIA","3,124.20","3,209.00","3,124.20","3,134.70","0.00","0.00","6.69","211.78","3,583.75","2,300.00","0.87","2.94"
"ONGC","107.00","107.80","106.50","106.75","-0.05","-0.05","130.53","139.62","178.90","101.55","-22.76","-14.91"
"NTPC","117.00","118.90","116.40","116.75","-0.10","-0.09","136.79","160.94","145.85","106.67","-10.43","-4.11"
"HDFC","2,449.50","2,487.00","2,427.90","2,433.00","-2.15","-0.09","41.73","1,023.60","2,499.90","1,820.00","24.88","-1.20"
"TITAN","1,276.95","1,288.95","1,265.85","1,268.10","-2.60","-0.20","11.96","152.02","1,389.95","998.00","20.04","9.42"
"POWERGRID","190.05","191.90","188.55","189.05","-0.45","-0.24","92.18","175.03","216.25","172.50","3.67","-2.95"
"ULTRACEMCO","4,492.70","4,492.70","4,439.95","4,447.00","-19.45","-0.44","3.24","144.55","4,904.95","3,367.05","28.92","-0.49"
"GRASIM","762.10","774.45","754.50","755.40","-3.90","-0.51","18.46","140.89","959.80","633.60","5.41","-0.55"
"UPL","578.45","583.00","570.45","572.90","-3.75","-0.65","32.77","189.13","709.05","497.85","-28.91","-3.22"
"IOC","116.05","116.95","114.65","115.05","-1.00","-0.86","119.44","137.74","170.75","107.55","-15.31","-9.37"
"CIPLA","454.95","454.95","445.00","446.65","-3.95","-0.88","16.83","75.39","586.00","389.55","-17.79","-6.49"
"SUNPHARMA","418.80","421.30","414.00","414.60","-3.95","-0.94","44.40","184.99","484.25","344.55","-3.26","-6.75"
